sound_num,height_g,height_d,height_a,height_e,position,fin_g,fin_d,fin_a,fin_e
0,7,-1,-1,-1,4,1,-1,-1,-1
0,7,-1,-1,-1,4,2,-1,-1,-1
0,7,-1,-1,-1,3,2,-1,-1,-1
0,7,-1,-1,-1,3,3,-1,-1,-1
0,7,-1,-1,-1,3,4,-1,-1,-1
0,7,-1,-1,-1,2,3,-1,-1,-1
0,7,-1,-1,-1,2,4,-1,-1,-1
0,7,-1,-1,-1,1,4,-1,-1,-1
1,7,-1,-1,-1,4,1,-1,-1,-1
1,7,-1,-1,-1,4,2,-1,-1,-1
1,7,-1,-1,-1,3,2,-1,-1,-1
1,7,-1,-1,-1,3,3,-1,-1,-1
1,7,-1,-1,-1,3,4,-1,-1,-1
1,7,-1,-1,-1,2,3,-1,-1,-1
1,7,-1,-1,-1,2,4,-1,-1,-1
1,7,-1,-1,-1,1,4,-1,-1,-1
2,9,-1,-1,-1,5,1,-1,-1,-1
2,9,-1,-1,-1,5,2,-1,-1,-1
2,9,-1,-1,-1,4,2,-1,-1,-1
2,9,-1,-1,-1,4,3,-1,-1,-1
2,9,-1,-1,-1,4,4,-1,-1,-1
2,9,-1,-1,-1,3,3,-1,-1,-1
2,9,-1,-1,-1,3,4,-1,-1,-1
2,9,-1,-1,-1,2,4,-1,-1,-1
2,-1,2,-1,-1,1,-1,1,-1,-1
2,-1,2,-1,-1,1,-1,2,-1,-1
3,10,-1,-1,-1,6,1,-1,-1,-1
3,10,-1,-1,-1,6,2,-1,-1,-1
3,10,-1,-1,-1,5,2,-1,-1,-1
3,10,-1,-1,-1,5,3,-1,-1,-1
3,10,-1,-1,-1,4,3,-1,-1,-1
3,10,-1,-1,-1,4,4,-1,-1,-1
3,10,-1,-1,-1,3,4,-1,-1,-1
3,-1,3,-1,-1,2,-1,1,-1,-1
3,-1,3,-1,-1,2,-1,2,-1,-1
3,-1,3,-1,-1,1,-1,2,-1,-1
3,-1,3,-1,-1,1,-1,3,-1,-1
4,12,-1,-1,-1,7,1,-1,-1,-1
4,12,-1,-1,-1,7,2,-1,-1,-1
4,12,-1,-1,-1,6,2,-1,-1,-1
4,12,-1,-1,-1,6,3,-1,-1,-1
4,12,-1,-1,-1,6,4,-1,-1,-1
4,12,-1,-1,-1,5,3,-1,-1,-1
4,12,-1,-1,-1,5,4,-1,-1,-1
4,12,-1,-1,-1,4,4,-1,-1,-1
4,-1,5,-1,-1,3,-1,1,-1,-1
4,-1,5,-1,-1,3,-1,2,-1,-1
4,-1,5,-1,-1,2,-1,2,-1,-1
4,-1,5,-1,-1,2,-1,3,-1,-1
4,-1,5,-1,-1,2,-1,4,-1,-1
4,-1,5,-1,-1,1,-1,3,-1,-1
4,-1,5,-1,-1,1,-1,4,-1,-1
5,14,-1,-1,-1,8,1,-1,-1,-1
5,14,-1,-1,-1,8,2,-1,-1,-1
5,14,-1,-1,-1,7,2,-1,-1,-1
5,14,-1,-1,-1,7,3,-1,-1,-1
5,14,-1,-1,-1,7,4,-1,-1,-1
5,14,-1,-1,-1,6,3,-1,-1,-1
5,14,-1,-1,-1,6,4,-1,-1,-1
5,14,-1,-1,-1,5,4,-1,-1,-1
