sound_num,height_g,height_d,height_a,height_e,position,fin_g,fin_d,fin_a,fin_e
0,0,2,-1,-1,0,0,2,-1,-1
0,0,2,-1,-1,0,0,3,-1,-1
0,0,2,-1,-1,0,0,4,-1,-1
1,5,2,-1,-1,1,3,1,-1,-1
1,5,2,-1,-1,1,3,2,-1,-1
1,5,2,-1,-1,1,4,1,-1,-1
1,5,2,-1,-1,1,4,2,-1,-1
2,9,10,-1,-1,5,1,2,-1,-1
2,9,10,-1,-1,5,1,3,-1,-1
2,9,10,-1,-1,5,2,2,-1,-1
2,9,10,-1,-1,5,2,3,-1,-1
2,9,10,-1,-1,4,2,3,-1,-1
2,9,10,-1,-1,4,2,4,-1,-1
2,9,10,-1,-1,4,3,3,-1,-1
2,9,10,-1,-1,4,3,4,-1,-1
2,9,10,-1,-1,4,4,3,-1,-1
2,9,10,-1,-1,4,4,4,-1,-1
2,9,10,-1,-1,3,3,4,-1,-1
2,9,10,-1,-1,3,4,4,-1,-1
2,-1,2,3,-1,1,-1,1,2,-1
2,-1,2,3,-1,1,-1,1,3,-1
2,-1,2,3,-1,1,-1,2,2,-1
2,-1,2,3,-1,1,-1,2,3,-1
3,12,10,-1,-1,6,2,1,-1,-1
3,12,10,-1,-1,6,2,2,-1,-1
3,12,10,-1,-1,6,3,1,-1,-1
3,12,10,-1,-1,6,3,2,-1,-1
3,12,10,-1,-1,6,4,1,-1,-1
3,12,10,-1,-1,6,4,2,-1,-1
3,12,10,-1,-1,5,3,2,-1,-1
3,12,10,-1,-1,5,3,3,-1,-1
3,12,10,-1,-1,5,4,2,-1,-1
3,12,10,-1,-1,5,4,3,-1,-1
3,12,10,-1,-1,4,4,3,-1,-1
3,12,10,-1,-1,4,4,4,-1,-1
3,-1,5,3,-1,2,-1,2,1,-1
3,-1,5,3,-1,2,-1,2,2,-1
3,-1,5,3,-1,2,-1,3,1,-1
3,-1,5,3,-1,2,-1,3,2,-1
3,-1,5,3,-1,2,-1,4,1,-1
3,-1,5,3,-1,2,-1,4,2,-1
3,-1,5,3,-1,1,-1,3,2,-1
3,-1,5,3,-1,1,-1,3,3,-1
3,-1,5,3,-1,1,-1,4,2,-1
3,-1,5,3,-1,1,-1,4,3,-1
4,12,14,-1,-1,7,1,2,-1,-1
4,12,14,-1,-1,7,1,3,-1,-1
4,12,14,-1,-1,7,1,4,-1,-1
4,12,14,-1,-1,7,2,2,-1,-1
4,12,14,-1,-1,7,2,3,-1,-1
4,12,14,-1,-1,7,2,4,-1,-1
4,12,14,-1,-1,6,2,3,-1,-1
4,12,14,-1,-1,6,2,4,-1,-1
4,12,14,-1,-1,6,3,3,-1,-1
4,12,14,-1,-1,6,3,4,-1,-1
4,12,14,-1,-1,6,4,3,-1,-1
4,12,14,-1,-1,6,4,4,-1,-1
4,12,14,-1,-1,5,3,4,-1,-1
4,12,14,-1,-1,5,4,4,-1,-1
4,-1,5,7,-1,3,-1,1,2,-1
4,-1,5,7,-1,3,-1,1,3,-1
4,-1,5,7,-1,3,-1,1,4,-1
4,-1,5,7,-1,3,-1,2,2,-1
4,-1,5,7,-1,3,-1,2,3,-1
4,-1,5,7,-1,3,-1,2,4,-1
4,-1,5,7,-1,2,-1,2,3,-1
4,-1,5,7,-1,2,-1,2,4,-1
4,-1,5,7,-1,2,-1,3,3,-1
4,-1,5,7,-1,2,-1,3,4,-1
4,-1,5,7,-1,2,-1,4,3,-1
4,-1,5,7,-1,2,-1,4,4,-1
4,-1,5,7,-1,1,-1,3,4,-1
4,-1,5,7,-1,1,-1,4,4,-1
5,21,17,-1,-1,10,3,1,-1,-1
5,21,17,-1,-1,10,3,2,-1,-1
5,21,17,-1,-1,10,4,1,-1,-1
5,21,17,-1,-1,10,4,2,-1,-1
5,21,17,-1,-1,10,3,1,-1,-1
5,21,17,-1,-1,10,3,2,-1,-1
5,21,17,-1,-1,10,4,1,-1,-1
5,21,17,-1,-1,10,4,2,-1,-1
5,21,17,-1,-1,9,4,2,-1,-1
5,21,17,-1,-1,9,4,3,-1,-1
5,21,17,-1,-1,9,4,4,-1,-1
5,-1,14,10,-1,6,-1,3,1,-1
5,-1,14,10,-1,6,-1,3,2,-1
5,-1,14,10,-1,6,-1,4,1,-1
5,-1,14,10,-1,6,-1,4,2,-1
5,-1,14,10,-1,6,-1,3,1,-1
5,-1,14,10,-1,6,-1,3,2,-1
5,-1,14,10,-1,6,-1,4,1,-1
5,-1,14,10,-1,6,-1,4,2,-1
5,-1,14,10,-1,5,-1,4,2,-1
5,-1,14,10,-1,5,-1,4,3,-1
5,-1,14,10,-1,5,-1,4,4,-1
5,-1,-1,7,3,2,-1,-1,3,1
5,-1,-1,7,3,2,-1,-1,3,2
5,-1,-1,7,3,2,-1,-1,4,1
5,-1,-1,7,3,2,-1,-1,4,2
5,-1,-1,7,3,2,-1,-1,3,1
5,-1,-1,7,3,2,-1,-1,3,2
5,-1,-1,7,3,2,-1,-1,4,1
5,-1,-1,7,3,2,-1,-1,4,2
5,-1,-1,7,3,1,-1,-1,4,2
5,-1,-1,7,3,1,-1,-1,4,3
6,21,17,-1,-1,10,3,1,-1,-1
6,21,17,-1,-1,10,3,2,-1,-1
6,21,17,-1,-1,10,4,1,-1,-1
6,21,17,-1,-1,10,4,2,-1,-1
6,21,17,-1,-1,10,3,1,-1,-1
6,21,17,-1,-1,10,3,2,-1,-1
6,21,17,-1,-1,10,4,1,-1,-1
6,21,17,-1,-1,10,4,2,-1,-1
6,21,17,-1,-1,9,4,2,-1,-1
6,21,17,-1,-1,9,4,3,-1,-1
6,21,17,-1,-1,9,4,4,-1,-1
6,-1,14,10,-1,6,-1,3,1,-1
6,-1,14,10,-1,6,-1,3,2,-1
6,-1,14,10,-1,6,-1,4,1,-1
